posizione,tipo,wallet,tavola,casella,erede_di_tavola,data,tx_hash,token,importo_token,valore_usd,n_dual_donazione,dual_ordinale,emissione_dono,note
13,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,3,1,14,2026-06-08 18:21:48,0x968c8cc8ee15a7c12344bcd49e4b42e4275ecda93d1619dffe7a204197daeb94,USDC,20.0,20.0,1,1,,
14,HUMAN,0x00c8aaad7cbf1a729febf67afb3915443dac7b68,3,2,15,2026-06-08 18:21:48,0x968c8cc8ee15a7c12344bcd49e4b42e4275ecda93d1619dffe7a204197daeb94,USDC,20.0,20.0,1,1,,
15,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,3,3,16,2026-06-12 16:15:49,0x9f07fb5113f000cb984cc21a1de4815f2e694bd157c467048d5cf5873497ae0f,USDC,20.0,20.0,1,1,,
16,HUMAN,0x31302a0cda10c72c66841ad37f48df399a982790,3,4,17,2026-06-12 16:15:49,0x9f07fb5113f000cb984cc21a1de4815f2e694bd157c467048d5cf5873497ae0f,USDC,20.0,20.0,1,1,,
17,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,3,5,18,2026-06-13 11:26:54,0xfc2c75178025b70edb78635498614b73323bcf8d958a9a1438f83a0e80c94022,USDC,20.0,20.0,1,1,,
18,HUMAN,0xea16449b7feb9db4313acc8315daf99d215eeeb5,3,6,19,2026-06-13 11:26:54,0xfc2c75178025b70edb78635498614b73323bcf8d958a9a1438f83a0e80c94022,USDC,20.0,20.0,1,1,,
19,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,4,1,20,2026-06-13 15:31:18,0x5f72c80e5a1a81136a2a7d526d9db3f9ec6219e4cf87f8e8606ecdea139e1b3b,USDC,20.0,20.0,1,1,,
20,HUMAN,0xf04c8bd249ba7cbebda774ed6c0400dfcb7778c0,4,2,21,2026-06-13 15:31:18,0x5f72c80e5a1a81136a2a7d526d9db3f9ec6219e4cf87f8e8606ecdea139e1b3b,USDC,20.0,20.0,1,1,,
21,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,4,3,22,2026-06-13 15:40:04,0x127d2216c88fe761139df17ed39c694a6d0dde4335ceaa23decf6ae588d51087,USDC,80.0,80.0,4,1,,
22,HUMAN,0x060aa41af9edacfd5d3482615b753dd7409e0ebd,4,4,23,2026-06-13 15:40:04,0x127d2216c88fe761139df17ed39c694a6d0dde4335ceaa23decf6ae588d51087,USDC,80.0,80.0,4,1,,
23,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,4,5,24,2026-06-13 15:40:04,0x127d2216c88fe761139df17ed39c694a6d0dde4335ceaa23decf6ae588d51087,USDC,80.0,80.0,4,2,,
24,HUMAN,0x060aa41af9edacfd5d3482615b753dd7409e0ebd,4,6,25,2026-06-13 15:40:04,0x127d2216c88fe761139df17ed39c694a6d0dde4335ceaa23decf6ae588d51087,USDC,80.0,80.0,4,2,,
25,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,5,1,26,2026-06-13 15:40:04,0x127d2216c88fe761139df17ed39c694a6d0dde4335ceaa23decf6ae588d51087,USDC,80.0,80.0,4,3,,
26,GEMELLO,(Gemello 1-A di pos0/Fortunato),5,2,27,,,,,,,,,"ATTIVO: ticket 26, sigla 1-A; struttura: Venere L3 7a tav. casella 2"
27,HUMAN,0x060aa41af9edacfd5d3482615b753dd7409e0ebd,5,3,28,2026-06-13 15:40:04,0x127d2216c88fe761139df17ed39c694a6d0dde4335ceaa23decf6ae588d51087,USDC,80.0,80.0,4,3,,
28,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,5,4,29,2026-06-13 15:40:04,0x127d2216c88fe761139df17ed39c694a6d0dde4335ceaa23decf6ae588d51087,USDC,80.0,80.0,4,4,,
29,HUMAN,0x060aa41af9edacfd5d3482615b753dd7409e0ebd,5,5,30,2026-06-13 15:40:04,0x127d2216c88fe761139df17ed39c694a6d0dde4335ceaa23decf6ae588d51087,USDC,80.0,80.0,4,4,,
30,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,5,6,31,2026-06-14 08:46:49,0x7a31b6d7cec1226f9cd184396a8df95168f051df64ae645e7b73ffc029f1433c,XAUt0,0.008556,36.02,2,1,,
31,HUMAN,0x230527653ca927d5221b652ec25289218e782b8c,6,1,32,2026-06-14 08:46:49,0x7a31b6d7cec1226f9cd184396a8df95168f051df64ae645e7b73ffc029f1433c,XAUt0,0.008556,36.02,2,1,,
32,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,6,2,33,2026-06-14 08:46:49,0x7a31b6d7cec1226f9cd184396a8df95168f051df64ae645e7b73ffc029f1433c,XAUt0,0.008556,36.02,2,2,,
33,HUMAN,0x230527653ca927d5221b652ec25289218e782b8c,6,3,34,2026-06-14 08:46:49,0x7a31b6d7cec1226f9cd184396a8df95168f051df64ae645e7b73ffc029f1433c,XAUt0,0.008556,36.02,2,2,,
34,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,6,4,35,2026-06-14 09:51:04,0xc657b8f1f5e9fd20763771b8fb729f7e132c27361f1ae3bac4fbc824c01a7bce,USDC,40.0,40.0,2,1,,
35,HUMAN,0x8ae0e34e151598d496070d45024515e2ab213587,6,5,36,2026-06-14 09:51:04,0xc657b8f1f5e9fd20763771b8fb729f7e132c27361f1ae3bac4fbc824c01a7bce,USDC,40.0,40.0,2,1,,
36,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,6,6,37,2026-06-14 09:51:04,0xc657b8f1f5e9fd20763771b8fb729f7e132c27361f1ae3bac4fbc824c01a7bce,USDC,40.0,40.0,2,2,,
37,HUMAN,0x8ae0e34e151598d496070d45024515e2ab213587,7,1,38,2026-06-14 09:51:04,0xc657b8f1f5e9fd20763771b8fb729f7e132c27361f1ae3bac4fbc824c01a7bce,USDC,40.0,40.0,2,2,,
38,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,7,2,39,2026-06-14 10:09:27,0xdb92ce6070ab13463c24518baf152f59bd4554867142aed3acbf91cc16a0f708,USDC,20.0,20.0,1,1,,
39,HUMAN,0x0d224cf39761fc2d216f57f4d398b4eee07624bf,7,3,40,2026-06-14 10:09:27,0xdb92ce6070ab13463c24518baf152f59bd4554867142aed3acbf91cc16a0f708,USDC,20.0,20.0,1,1,,
40,RISERVATA,(Gemello #2 futuro),7,4,41,,,,,,,,,RISERVATO ticket 40: futuro faraone gemello-releasing (owner da confermare all'uscita da Venere)
41,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,7,5,42,2026-06-14 10:16:43,0x9efd5151a754201e0a2327e6bc1325bc2b1bce9376005e6323c76786595b50a3,USDC,20.0,20.0,1,1,,
42,HUMAN,0xb20d1d6358d1ae9250c20916d635156ffc3f4e0c,7,6,43,2026-06-14 10:16:43,0x9efd5151a754201e0a2327e6bc1325bc2b1bce9376005e6323c76786595b50a3,USDC,20.0,20.0,1,1,,
43,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,8,1,44,2026-06-14 10:16:57,0xd4fbfd42af931c9d9fed6baaaaaa9182829544bddeb49640fcbd3fe4416b35ad,USDC,20.0,20.0,1,1,,
44,HUMAN,0x2374d927a5a6963ff1dd9844f619cd85b544e93b,8,2,45,2026-06-14 10:16:57,0xd4fbfd42af931c9d9fed6baaaaaa9182829544bddeb49640fcbd3fe4416b35ad,USDC,20.0,20.0,1,1,,
45,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,8,3,46,2026-06-14 10:21:37,0x667caf4e52299c0d619aebed55d69eb04742722dde36884d5ce20531a384d0fe,USDC,20.0,20.0,1,1,,
46,HUMAN,0x76c476f93a1cd46df61d7b1a57796a1dd1ad29c9,8,4,47,2026-06-14 10:21:37,0x667caf4e52299c0d619aebed55d69eb04742722dde36884d5ce20531a384d0fe,USDC,20.0,20.0,1,1,,
47,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,8,5,48,2026-06-14 10:24:09,0x8a61786d9f13ff4915be74bf9f3b9f8f928bc58cc95d91fb43241897e19beec9,USDC,20.0,20.0,1,1,,
48,HUMAN,0x49a52bdf0b85b39d1779637141271519d4fcfaca,8,6,49,2026-06-14 10:24:09,0x8a61786d9f13ff4915be74bf9f3b9f8f928bc58cc95d91fb43241897e19beec9,USDC,20.0,20.0,1,1,,
49,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,9,1,50,2026-06-14 11:28:30,0x5c350b0b08b5f2a24c95b6e2cc9222b448b0bc707543f93a58d8ffdc13bb150d,USDC,20.0,20.0,1,1,,
50,HUMAN,0xf13802ad194c9d50509a9fd076dd8d939bed30dd,9,2,51,2026-06-14 11:28:30,0x5c350b0b08b5f2a24c95b6e2cc9222b448b0bc707543f93a58d8ffdc13bb150d,USDC,20.0,20.0,1,1,,
51,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,9,3,52,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,1,,
52,HUMAN,0xc2038b49500b52cdad3b59c736315de643b78ede,9,4,53,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,1,,
53,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,9,5,54,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,2,,
54,RISERVATA,(Gemello #3 futuro),9,6,55,,,,,,,,,RISERVATO ticket 54: futuro faraone gemello-releasing (owner da confermare all'uscita da Venere)
55,HUMAN,0xc2038b49500b52cdad3b59c736315de643b78ede,10,1,56,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,2,,
56,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,10,2,57,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,3,,
57,HUMAN,0xc2038b49500b52cdad3b59c736315de643b78ede,10,3,58,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,3,,
58,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,10,4,59,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,4,,
59,HUMAN,0xc2038b49500b52cdad3b59c736315de643b78ede,10,5,60,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,4,,
60,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,10,6,61,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,5,,
61,HUMAN,0xc2038b49500b52cdad3b59c736315de643b78ede,11,1,62,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,5,,
62,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,11,2,63,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,6,,
63,HUMAN,0xc2038b49500b52cdad3b59c736315de643b78ede,11,3,64,2026-06-14 12:00:09,0xf93ee0160d728a7d0738eb8799b24f4367896d325d24a1310cf9af0e3364d649,USDC,120.0,120.0,6,6,,
64,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,11,4,65,2026-06-14 12:40:25,0x07f3439f1f27bb8cee386cd9d069b417184ab624b8cc1dd56db142419e2282cc,USDC,80.0,80.0,4,1,,
65,HUMAN,0x889358bf9f59024bff7d7c22aa012d0129c9f6db,11,5,66,2026-06-14 12:40:25,0x07f3439f1f27bb8cee386cd9d069b417184ab624b8cc1dd56db142419e2282cc,USDC,80.0,80.0,4,1,,
66,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,11,6,67,2026-06-14 12:40:25,0x07f3439f1f27bb8cee386cd9d069b417184ab624b8cc1dd56db142419e2282cc,USDC,80.0,80.0,4,2,,
67,HUMAN,0x889358bf9f59024bff7d7c22aa012d0129c9f6db,12,1,68,2026-06-14 12:40:25,0x07f3439f1f27bb8cee386cd9d069b417184ab624b8cc1dd56db142419e2282cc,USDC,80.0,80.0,4,2,,
68,RISERVATA,(Gemello #4 futuro),12,2,69,,,,,,,,,RISERVATO ticket 68: futuro faraone gemello-releasing (owner da confermare all'uscita da Venere)
69,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,12,3,70,2026-06-14 12:42:43,0x0e66b2b7eed4702e8993b4e15ab1dbeae0735d075a2a5d1b0c686a2ed0a5f304,XAUt0,0.01,42.1,2,1,,
70,HUMAN,0xca9f6924b98fedd68712aa878aca723b31c81965,12,4,71,2026-06-14 12:42:43,0x0e66b2b7eed4702e8993b4e15ab1dbeae0735d075a2a5d1b0c686a2ed0a5f304,XAUt0,0.01,42.1,2,1,,
71,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,12,5,72,2026-06-14 12:42:43,0x0e66b2b7eed4702e8993b4e15ab1dbeae0735d075a2a5d1b0c686a2ed0a5f304,XAUt0,0.01,42.1,2,2,,
72,HUMAN,0xca9f6924b98fedd68712aa878aca723b31c81965,12,6,73,2026-06-14 12:42:43,0x0e66b2b7eed4702e8993b4e15ab1dbeae0735d075a2a5d1b0c686a2ed0a5f304,XAUt0,0.01,42.1,2,2,,
73,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,13,1,74,2026-06-14 12:40:25,0x07f3439f1f27bb8cee386cd9d069b417184ab624b8cc1dd56db142419e2282cc,USDC,80.0,80.0,4,3,,
74,HUMAN,0x889358bf9f59024bff7d7c22aa012d0129c9f6db,13,2,75,2026-06-14 12:40:25,0x07f3439f1f27bb8cee386cd9d069b417184ab624b8cc1dd56db142419e2282cc,USDC,80.0,80.0,4,3,,
75,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,13,3,76,2026-06-14 12:40:25,0x07f3439f1f27bb8cee386cd9d069b417184ab624b8cc1dd56db142419e2282cc,USDC,80.0,80.0,4,4,,
76,HUMAN,0x889358bf9f59024bff7d7c22aa012d0129c9f6db,13,4,77,2026-06-14 12:40:25,0x07f3439f1f27bb8cee386cd9d069b417184ab624b8cc1dd56db142419e2282cc,USDC,80.0,80.0,4,4,,
77,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,13,5,78,2026-06-14 13:07:48,0x420605c264462bc7fb050fd779cd0cbe00e435d142cb97d6790d3b914e11f3bc,XAUt0,0.01,42.1,2,1,,
78,HUMAN,0x9ca3bb287ffbc6138926eaac8828e976c3f77146,13,6,79,2026-06-14 13:07:48,0x420605c264462bc7fb050fd779cd0cbe00e435d142cb97d6790d3b914e11f3bc,XAUt0,0.01,42.1,2,1,,
79,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,14,1,80,2026-06-14 13:07:48,0x420605c264462bc7fb050fd779cd0cbe00e435d142cb97d6790d3b914e11f3bc,XAUt0,0.01,42.1,2,2,,
80,HUMAN,0x9ca3bb287ffbc6138926eaac8828e976c3f77146,14,2,81,2026-06-14 13:07:48,0x420605c264462bc7fb050fd779cd0cbe00e435d142cb97d6790d3b914e11f3bc,XAUt0,0.01,42.1,2,2,,
81,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,14,3,82,2026-06-14 13:23:06,0xc33f0a918780afdca43250a435b25fd0598f4c2ac0e4ce6f6c59362627526e67,USDC,40.0,40.0,2,1,,
82,RISERVATA,(Gemello #5 futuro),14,4,83,,,,,,,,,RISERVATO ticket 82: futuro faraone gemello-releasing (owner da confermare all'uscita da Venere)
83,HUMAN,0xf22a66b15e151fca5dedd753f5f8827f93f8b481,14,5,84,2026-06-14 13:23:06,0xc33f0a918780afdca43250a435b25fd0598f4c2ac0e4ce6f6c59362627526e67,USDC,40.0,40.0,2,1,,
84,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,14,6,85,2026-06-14 13:23:06,0xc33f0a918780afdca43250a435b25fd0598f4c2ac0e4ce6f6c59362627526e67,USDC,40.0,40.0,2,2,,
85,HUMAN,0xf22a66b15e151fca5dedd753f5f8827f93f8b481,15,1,86,2026-06-14 13:23:06,0xc33f0a918780afdca43250a435b25fd0598f4c2ac0e4ce6f6c59362627526e67,USDC,40.0,40.0,2,2,,
86,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,15,2,87,2026-06-14 13:32:16,0x57e11f716f9b48d9da5056dc953e7aaebb8623982f2867fec3e32b8828a5b366,USDC,40.0,40.0,2,1,,
87,HUMAN,0xe7adcec177220536263abebba5bb27777f8b5c2f,15,3,88,2026-06-14 13:32:16,0x57e11f716f9b48d9da5056dc953e7aaebb8623982f2867fec3e32b8828a5b366,USDC,40.0,40.0,2,1,,
88,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,15,4,89,2026-06-14 13:32:16,0x57e11f716f9b48d9da5056dc953e7aaebb8623982f2867fec3e32b8828a5b366,USDC,40.0,40.0,2,2,,
89,HUMAN,0xe7adcec177220536263abebba5bb27777f8b5c2f,15,5,90,2026-06-14 13:32:16,0x57e11f716f9b48d9da5056dc953e7aaebb8623982f2867fec3e32b8828a5b366,USDC,40.0,40.0,2,2,,
90,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,15,6,91,2026-06-14 13:46:15,0x15425009aa81b3155ab70d94239dfde5a7095a96f4ae3a0c18457b824b745b7c,USDC,40.0,40.0,2,1,,
91,HUMAN,0x1c43db0b0fde9178c7b65dfcf3d4d45019267be6,16,1,92,2026-06-14 13:46:15,0x15425009aa81b3155ab70d94239dfde5a7095a96f4ae3a0c18457b824b745b7c,USDC,40.0,40.0,2,1,,
92,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,16,2,93,2026-06-14 13:46:15,0x15425009aa81b3155ab70d94239dfde5a7095a96f4ae3a0c18457b824b745b7c,USDC,40.0,40.0,2,2,,
93,HUMAN,0x1c43db0b0fde9178c7b65dfcf3d4d45019267be6,16,3,94,2026-06-14 13:46:15,0x15425009aa81b3155ab70d94239dfde5a7095a96f4ae3a0c18457b824b745b7c,USDC,40.0,40.0,2,2,,
94,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,16,4,95,2026-06-14 14:12:06,0x7a77780aeb8a9a82a0aed34616edf51288715f890131b8e930d8b0321132db50,USDC,40.0,40.0,2,1,,
95,HUMAN,0x5ff5a8a9b9af8f5915217bea734677176985cab1,16,5,96,2026-06-14 14:12:06,0x7a77780aeb8a9a82a0aed34616edf51288715f890131b8e930d8b0321132db50,USDC,40.0,40.0,2,1,,
96,RISERVATA,(Gemello #6 futuro),16,6,97,,,,,,,,,RISERVATO ticket 96: futuro faraone gemello-releasing (owner da confermare all'uscita da Venere)
97,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,17,1,98,2026-06-14 14:12:06,0x7a77780aeb8a9a82a0aed34616edf51288715f890131b8e930d8b0321132db50,USDC,40.0,40.0,2,2,,
98,HUMAN,0x5ff5a8a9b9af8f5915217bea734677176985cab1,17,2,99,2026-06-14 14:12:06,0x7a77780aeb8a9a82a0aed34616edf51288715f890131b8e930d8b0321132db50,USDC,40.0,40.0,2,2,,
99,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,17,3,100,2026-06-14 14:58:33,0x33b9955c642077149b7a26027baa4e57f73e4b2cea2e01a31c0f3cb759b5b2a7,USDC,40.0,40.0,2,1,,
100,HUMAN,0x4f1b12c9d4182d55d23b87a2dd451ec0618eb17e,17,4,101,2026-06-14 14:58:33,0x33b9955c642077149b7a26027baa4e57f73e4b2cea2e01a31c0f3cb759b5b2a7,USDC,40.0,40.0,2,1,,
101,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,17,5,102,2026-06-14 14:58:33,0x33b9955c642077149b7a26027baa4e57f73e4b2cea2e01a31c0f3cb759b5b2a7,USDC,40.0,40.0,2,2,,
102,HUMAN,0x4f1b12c9d4182d55d23b87a2dd451ec0618eb17e,17,6,103,2026-06-14 14:58:33,0x33b9955c642077149b7a26027baa4e57f73e4b2cea2e01a31c0f3cb759b5b2a7,USDC,40.0,40.0,2,2,,
103,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,18,1,104,2026-06-14 15:06:58,0x2e4135dd74d69ea1153ffc5f4d8be1f836e9feb45910962f065297213ca7d4f9,USDC,40.0,40.0,2,1,,
104,HUMAN,0xf6476c2f1a62dc29fdf2844ff6bc09acefe40139,18,2,105,2026-06-14 15:06:58,0x2e4135dd74d69ea1153ffc5f4d8be1f836e9feb45910962f065297213ca7d4f9,USDC,40.0,40.0,2,1,,
105,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,18,3,106,2026-06-14 15:06:58,0x2e4135dd74d69ea1153ffc5f4d8be1f836e9feb45910962f065297213ca7d4f9,USDC,40.0,40.0,2,2,,
106,HUMAN,0xf6476c2f1a62dc29fdf2844ff6bc09acefe40139,18,4,107,2026-06-14 15:06:58,0x2e4135dd74d69ea1153ffc5f4d8be1f836e9feb45910962f065297213ca7d4f9,USDC,40.0,40.0,2,2,,
107,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,18,5,108,2026-06-14 15:29:49,0x2ef6541b644923d4165d77e84c79d4ee4518f5a3a267e92aeabb5fdb1dd21bca,USDC,20.0,20.0,1,1,,
108,HUMAN,0x0d224cf39761fc2d216f57f4d398b4eee07624bf,18,6,109,2026-06-14 15:29:49,0x2ef6541b644923d4165d77e84c79d4ee4518f5a3a267e92aeabb5fdb1dd21bca,USDC,20.0,20.0,1,1,,
109,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,19,1,110,2026-06-14 15:32:28,0x4ccb13c885ba04110a635a077c067f3f980b49626f487a3f4076b8cbdb9ead16,USDC,20.0,20.0,1,1,,
110,RISERVATA,(Gemello #7 futuro),19,2,111,,,,,,,,,RISERVATO ticket 110: futuro faraone gemello-releasing (owner da confermare all'uscita da Venere)
111,HUMAN,0xcebc33b60727b477a3ad1f6925491de1f5762f71,19,3,112,2026-06-14 15:32:28,0x4ccb13c885ba04110a635a077c067f3f980b49626f487a3f4076b8cbdb9ead16,USDC,20.0,20.0,1,1,,
112,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,19,4,113,2026-06-14 15:34:58,0x9b0b93cff23e8cf5b9a35e07bd92fd81af9a49f69c343dcd0860d1a9d42c3fc3,USDC,20.0,20.0,1,1,,
113,HUMAN,0x117e45f221bf6b4e7499c8b78ebe6ac19c34b152,19,5,114,2026-06-14 15:34:58,0x9b0b93cff23e8cf5b9a35e07bd92fd81af9a49f69c343dcd0860d1a9d42c3fc3,USDC,20.0,20.0,1,1,,
114,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,19,6,115,2026-06-14 15:50:42,0x00510f52f2f1d1fb530d1c12230f68af4b0a87bf85c3593175dd1546044388fb,USDC,20.0,20.0,1,1,,
115,HUMAN,0xe1276a7dae80b30d265a1b6e41fc04777f4b8b92,20,1,116,2026-06-14 15:50:42,0x00510f52f2f1d1fb530d1c12230f68af4b0a87bf85c3593175dd1546044388fb,USDC,20.0,20.0,1,1,,
116,CASSA,0x4f53c4277e2e738cdb71375253b3fe30bbca95ce,20,2,117,2026-06-14 16:24:24,0xeb58826c4da144e105c2bf027d7768d46c55c079f0e1c4581d90b9a01e54645b,USDC,20.0,20.0,1,1,,
117,HUMAN,0x6b2784e35e83b0aa3d0b4b2efee2696f933a52f3,20,3,118,2026-06-14 16:24:24,0xeb58826c4da144e105c2bf027d7768d46c55c079f0e1c4581d90b9a01e54645b,USDC,20.0,20.0,1,1,,
