seq,data,donatore,token,importo_token,valore_usd,n_dual,posizioni_cassa,posizioni_human
24,2026-06-14 14:12:06,0x5ff5a8a9b9af8f5915217bea734677176985cab1,USDC,40.0,40.0,2,"94,97","95,98"
25,2026-06-14 14:58:33,0x4f1b12c9d4182d55d23b87a2dd451ec0618eb17e,USDC,40.0,40.0,2,"99,101","100,102"
26,2026-06-14 15:06:58,0xf6476c2f1a62dc29fdf2844ff6bc09acefe40139,USDC,40.0,40.0,2,"103,105","104,106"
27,2026-06-14 15:29:49,0x0d224cf39761fc2d216f57f4d398b4eee07624bf,USDC,20.0,20.0,1,107,108
28,2026-06-14 15:32:28,0xcebc33b60727b477a3ad1f6925491de1f5762f71,USDC,20.0,20.0,1,109,111
29,2026-06-14 15:34:58,0x117e45f221bf6b4e7499c8b78ebe6ac19c34b152,USDC,20.0,20.0,1,112,113
30,2026-06-14 15:50:42,0xe1276a7dae80b30d265a1b6e41fc04777f4b8b92,USDC,20.0,20.0,1,114,115
31,2026-06-14 16:24:24,0x6b2784e35e83b0aa3d0b4b2efee2696f933a52f3,USDC,20.0,20.0,1,116,117
32,2026-06-14 16:27:49,0xc4554541de8eef9046fc5ffbf19b396e5a569481,USDC,20.0,20.0,1,118,119
33,2026-06-14 16:30:25,0x7441aaa19ddbb7e15a89e9280fa46a38a2655a32,USDC,20.0,20.0,1,120,121
34,2026-06-14 16:32:27,0x94b5877890b42530d7837e8a02cecfa7d4a2e2e5,USDC,20.0,20.0,1,122,123
35,2026-06-14 16:34:34,0xebd678dd0f1b3ff253826516c894d37748fdba89,USDC,20.0,20.0,1,125,126
36,2026-06-14 16:46:54,0xefd1feb4a9fe0c0b6f5cbf2b79497fc291bf0d33,USDC,40.0,40.0,2,"127,129","128,130"
37,2026-06-14 17:30:33,0x030768a5f864bf50d4788482768a9607207a0d78,USDC,20.0,20.0,1,131,132
38,2026-06-14 18:08:42,0x399a4d1dd19de63a8fc6718bb4c0b03df033a5c6,USDC,20.0,20.0,1,133,134
39,2026-06-14 20:01:15,0xcc8d757fbb69547c97a725ac68a6311c70a54297,USDC,20.0,20.0,1,135,136
40,2026-06-14 20:23:13,0x99911ba907bb8c1633f3fa9b0507774e0cd587b9,USDC,20.0,20.0,1,137,139
41,2026-06-14 21:07:57,0x0285a0b17824718330aa94457267400380e98c16,USDC,20.0,20.0,1,140,141
42,2026-06-14 21:16:18,0xca3e0e768ac90a0b48a01f7dcafc560c82b21b6c,USDC,20.0,20.0,1,142,143
43,2026-06-14 21:24:24,0x5d307d129f8f6482e8ace7be181b8a97c434e2d1,USDC,20.0,20.0,1,144,145
44,2026-06-14 21:55:57,0x4c7fedf4cc94264e8e166a3d10dd9ffab92bb7b5,USDC,20.0,20.0,1,146,147
45,2026-06-15 07:58:36,0x1407e65d195c11d4f4fe9a9e5d1fc78356702980,USDC,20.0,20.0,1,148,149
46,2026-06-15 08:13:24,0x1b02fe670bb13b371569e52b7a38138aea529559,USDC,20.0,20.0,1,150,151
47,2026-06-15 08:34:58,0xb02c29d6b4f3e523b6fc9a87c78c268555aedef7,USDC,20.0,20.0,1,153,154
48,2026-06-15 08:54:55,0xa13bffda5f410764a2d119f430e9e19b10ea8228,USDC,20.0,20.0,1,155,156
49,2026-06-15 09:21:42,0xf064bdfb18d2cc52fc32496394514b95f5e5cf16,USDC,20.0,20.0,1,157,158
50,2026-06-15 09:44:21,0x92419748b7dd196fd8be7da4d7e17dabc936884f,USDC,20.0,20.0,1,159,160
51,2026-06-15 10:50:46,0x1d0a126dd25f1601e05012beaef75708ec5c62f9,USDC,40.0,40.0,2,"161,163","162,164"
52,2026-06-15 13:10:43,0x7510fe25213e581d8f7d354702cbae34b0ae11d7,USDC,20.0,20.0,1,165,167
53,2026-06-15 13:35:19,0x6bc9c37079a2e4f79c51556d8032455cf98d9dbb,USDC,20.0,20.0,1,168,169
54,2026-06-15 13:59:36,0xaeda3f3f0176ec0b661ee6f6339163fccbae46ff,USDC,20.0,20.0,1,170,171
55,2026-06-15 14:04:46,0xbe17ce579328fcdb3213ba98957c95b4d9fce6a0,USDC,20.0,20.0,1,172,173
56,2026-06-15 14:09:55,0xae960318022ba5521eb6635cf906decd56704e52,USDC,20.0,20.0,1,174,175
57,2026-06-15 14:25:12,0x9b44723781e372bbc0e44bbb29a6c73e266c08f3,USDC,20.0,20.0,1,176,177
58,2026-06-15 15:43:22,0xfb7da0e014ed2b5d0bdf64df159861ae67743137,USDC,40.0,40.0,2,"178,181","179,182"
59,2026-06-15 15:46:55,0xaf148f3ba3ce31b40c4ca682a35a0680e29bcebc,USDC,20.0,20.0,1,183,184
60,2026-06-15 15:56:19,0x5dc62fc9c12ac3d56fe0a53ab6875056abba192b,USDC,20.0,20.0,1,185,186
61,2026-06-15 17:07:09,0xe67aa369ecde3712e6a0a5a28cbbd495d831a16e,USDC,20.0,20.0,1,187,188
62,2026-06-15 18:32:04,0x802a905a48bf06843cc344faadf38e332d02c335,USDC,40.0,40.0,2,"189,191","190,192"
63,2026-06-17 20:26:07,0x3a0fde8d24c3c2b9448503a60d036e66417b2757,USDC,20.0,20.0,1,193,195
64,2026-06-17 20:46:53,0x589a44c24d413208f15e20e948ed4802bf894ca4,USDC,20.0,20.0,1,196,197
65,2026-06-18 18:13:56,0xf4e9e81ecfd30f3ba26b2ff18ae97f1df55fbc84,USDC,20.0,20.0,1,198,199
66,2026-06-18 20:15:46,0xeeeb648756cb94a6df93ea329bd40c79420e2811,USDC,60.0,60.0,3,"200,202,204","201,203,205"
67,2026-06-19 05:47:13,0x5ff5a8a9b9af8f5915217bea734677176985cab1,USDC,60.0,60.0,3,"206,209,211","207,210,212"
68,2026-06-19 05:55:26,0xf13802ad194c9d50509a9fd076dd8d939bed30dd,USDC,20.0,20.0,1,213,214
69,2026-06-26 18:32:28,0xad5f83d360cb565cf62f4ab4eabb9b3f197cc99b,USDC,20.0,20.0,1,215,216
70,2026-06-27 07:11:23,0xc7569ca884e04fdbaaab45af5d401eeda0bddfb5,USDC,20.0,20.0,1,217,218
71,2026-06-30 17:59:41,0x09d11d0eae9fcada36cf42e71d841e773ced5d7b,USDC,20.0,20.0,1,219,220
72,2026-07-01 07:07:26,0x92b0a22662c80482579f700afd32cdbb0f7f8c79,USDC,20.0,20.0,1,221,223
73,2026-07-01 09:28:04,0x71b8c073259d89fdc182bd5f5513dda0bef4c4b6,USDC,40.0,40.0,2,"224,226","225,227"
74,2026-07-01 10:07:28,0x56f5c6ec5ffd9c69059b10b92ade45f5f6f1e304,USDC,20.0,20.0,1,228,229
75,2026-07-01 10:11:23,0x290a9c48ab72192aeaae4a381d974c81092734c6,USDC,20.0,20.0,1,230,231
76,2026-07-01 10:14:49,0xf876af4de3431727caa50360915bcbc8797bf4a4,USDC,20.0,20.0,1,232,233
77,2026-07-01 10:25:11,0x2a9708c7f68cb1e46f71d7cf5394693b1f84f765,USDC,20.0,20.0,1,234,235
78,2026-07-01 12:11:41,0x0d224cf39761fc2d216f57f4d398b4eee07624bf,USDC,20.0,20.0,1,237,238
79,2026-07-01 12:22:56,0xf7941678b468e39fc4ea549c5224fa238f0bb3ee,USDC,20.0,20.0,1,239,240
80,2026-07-01 12:44:29,0xb41916c2eb6fc873e506fb4eadb96791bd24c11f,USDC,40.0,40.0,2,"241,243","242,244"
81,2026-07-01 13:51:17,0xf090c24e9051a80e1b0da9e5e3a24e9c809c1226,USDC,20.0,20.0,1,245,246
82,2026-07-01 14:01:34,0x9ab5ed76a8c59e8825de2f29210048883e5dcbce,USDC,20.0,20.0,1,247,248
